label,start,end,n_months,cagr,vol,max_drawdown,sharpe,worst_year,worst_year_label,total_return,rf_mean_annualized
listed_full:proposed,2016-06-30,2026-09-30,124,0.140737204180444,0.11299782835335519,-0.11002633097086267,1.0264153734027766,-0.1003165643067232,2022,2.8986830318611467,0.02308006109841649
listed_full:bm_global_60_40,2016-06-30,2026-09-30,124,0.10327272253326347,0.0927291626596305,-0.11934586375091327,0.8641304346457878,-0.117619811047319,2022,1.7609366032616758,0.02308006109841649
listed_full:bm_kr_60_40,2016-06-30,2026-09-30,124,0.1242073800253174,0.17246672442805355,-0.23742571493271847,0.6319976144819206,-0.16201852988343957,2022,2.352842324918442,0.02308006109841649
long_full:proposed,2004-01-31,2026-09-30,273,0.10561408812359385,0.09359180131435835,-0.14413089478720997,0.9438846395935536,-0.1003165643067232,2022,8.8170517637038,0.017177183294649987
long_full:bm_global_60_40,2004-01-31,2026-09-30,273,0.08409719360140899,0.0919584331364537,-0.11934586375091327,0.7403782110052136,-0.11761981104731889,2022,5.277720975140286,0.017177183294649987
long_full:bm_kr_60_40,2004-01-31,2026-09-30,273,0.09437334343738901,0.14350119885194043,-0.29049545027859236,0.5829033586520482,-0.21823193453098977,2008,6.780638937562199,0.017177183294649987
regime_2004_2006:proposed,2004-06-30,2006-06-30,25,0.07061740815475659,0.0686618932207403,-0.04038264777321521,0.578594278281096,-0.027294352598204674,2006,0.15275795116942503,0.030825504508322152
regime_2004_2006:bm_global_60_40,2004-06-30,2006-06-30,25,-0.011071997727789329,0.0625565165584399,-0.08112394079568752,-0.637811323168127,-0.0480044433896486,2004,-0.022928366155946067,0.030825504508322152
regime_2004_2006:bm_kr_60_40,2004-06-30,2006-06-30,25,0.18507910507580938,0.11982246752767144,-0.05375964512862741,1.2231052564012406,-0.014777714884691151,2006,0.42442731590646665,0.030825504508322152
path_2026_ytd_lookahead:proposed,2025-12-31,2026-09-30,10,0.4132119226433528,0.2663647278941773,-0.11002633097086256,1.3004267932030769,0.024310983746120396,2025,0.3340519559802715,0.03599741657336475
path_2026_ytd_lookahead:bm_global_60_40,2025-12-31,2026-09-30,10,0.05433412069826238,0.14740979501552026,-0.11934586375091327,0.18316920878158946,-0.007536856157730254,2025,0.045077628918116286,0.03599741657336475
path_2026_ytd_lookahead:bm_kr_60_40,2025-12-31,2026-09-30,10,0.7965772023224136,0.44170937298253565,-0.13989132547020666,1.4712420121699408,0.05924382748681878,2025,0.6294394885991201,0.03599741657336475
stress_2022:proposed,2022-01-31,2022-12-31,12,-0.1003165643067232,0.11235371828277683,-0.08027637603758797,-1.0688945670018182,-0.1003165643067232,2022,-0.1003165643067232,0.020715431920506733
stress_2022:bm_global_60_40,2022-01-31,2022-12-31,12,-0.117619811047319,0.11553658128667871,-0.09381382274200811,-1.2010664400199103,-0.117619811047319,2022,-0.117619811047319,0.020715431920506733
stress_2022:bm_kr_60_40,2022-01-31,2022-12-31,12,-0.16201852988343957,0.1576092604414959,-0.15392676632302582,-1.1777403149166832,-0.16201852988343957,2022,-0.16201852988343957,0.020715431920506733
