Date,kr_equity,samsung,hynix,sk,hanmi,tes,wonik,mobis,spy,efa,xli,ief,tip,gld,dbc,bil,gc,cl,usd_cash,krw_cash,ktb
2003-12-31,0.019499679005425402,-0.03010731843663572,-0.024738782295669726,,,,,0.23486372963860958,,,,,,,,,,,,0.0035466588636137164,0.00045833333333335745
2004-01-31,0.047863433907467307,0.16186231300004672,0.5982139856617532,,,,,-0.09360403542477336,-0.005855116559642104,-0.01415235576592666,-0.015292024166868479,-0.015229396251838279,-0.013243103238655074,-0.05678747757287128,-0.02350430383260772,,-0.05678747757287128,-0.009240086515351909,-0.02440244421551918,0.0034825160297176083,0.005024999999999979
2004-02-29,0.04240495923412649,0.04007619056255307,0.0022344850356377233,,,,,-0.0877794553134994,0.024755542282821397,0.03427843268046771,0.003553525861984541,0.027330132849142652,0.03273720754466147,-0.003545332380288646,0.07325731937273382,,-0.003545332380288646,0.10617274155260059,0.011812250155482484,0.0033380295383023117,0.004016666666666687
2004-03-31,-0.0020553167990804153,0.04954134980546776,0.3656630501345328,,,,,-0.009433755737482952,-0.018715011007473303,-0.004839483584475501,-0.017706992335401406,0.0073566236952287145,0.011007624060756394,0.07197722792996353,0.010013087911373609,,0.07197722792996353,-0.0165429720965935,-0.00478060492480159,0.003217449047942411,0.013024999999999965
2004-04-30,-0.01880675541684415,-0.026223700619027457,-0.02857148537468146,,,,,-0.04000013915013645,-0.021949524712780888,-0.03688028851469949,-0.003464146351840558,-0.046414559291967694,-0.05115686375948847,-0.09710874839716221,0.0003202166032194552,,-0.09710874839716221,0.04207548731766875,-0.002299313521719193,0.003201359597605702,0.004883333333333348
2004-05-31,-0.06712883983548998,-0.09156189368735124,-0.05462194280853505,,,,,-0.0972222192616814,0.014236767927359395,0.008532691307457263,0.02171296599614858,-0.008133056881625023,0.017299382682771203,0.015198360589505189,0.049256402699264124,,0.015198360589505189,0.06385270646058938,-0.001968166805510929,0.0031933138078821255,0.00887499999999999
2004-06-30,-0.02120477735008383,-0.05731231519039015,0.12444464591263005,,,,,0.1274723256075876,0.015250763968588599,0.03023753411491481,0.05833668331121267,0.003320371462731675,-0.004597187762591659,-0.006733313114128392,-0.05376947684695768,,-0.006733313114128392,-0.07392783273245596,-0.002115411623798358,0.003201359597605702,0.011800000000000007
2004-07-31,-0.06295284374016216,-0.12578608612902242,-0.28853729183104204,,,,,-0.040935723338613506,-0.0201601926155488,-0.030728767623149245,-0.015801207564880793,0.02472709283871999,0.020658198056028754,0.008333812705520138,0.14034154134726423,,0.008333812705520138,0.19691628219372603,0.01364368946852701,0.003201359597605702,0.010675000000000013
2004-08-31,0.0940369801410397,0.0815348935414355,0.16111122910186682,,,,,0.1504066207889252,-0.014269840875236417,-0.00495752585314313,-0.01595934794044529,0.011160551439123534,0.00980430712859448,0.03212424148572568,-0.028430267372720322,,0.03212424148572568,-0.05438219974062575,-0.015389494539565618,0.003032248764614831,0.03156666666666666
2004-09-30,0.04047498257022733,0.015520566160108551,0.004784363250299073,,,,,0.024734632224359343,0.010213060640928973,0.020895433785897755,0.02167491499192309,0.0033982276495494457,0.001000493573848571,0.02040161917833494,0.1312402066741676,,0.02040161917833494,0.1787424584580959,0.001558536716152359,0.0028870465787962374,0.013108333333333328
2004-10-31,0.0009506310793323803,-0.04039276092493527,0.20952409200997457,,,,,-0.010344512698851394,-0.02628241736466641,-0.005015418666310056,-0.028844919431271987,-0.0291587713553475,-0.028149928612628106,-0.016168071680199292,-0.0031793270337178384,,-0.016168071680199292,0.0023872778147742135,-0.0371857273114129,0.0028870465787962374,0.00794999999999999
2004-11-30,0.05302036236022192,-0.011376292596108728,-0.18503939936310176,,,,,0.08710789263937424,-0.010904615644445226,0.004526500726081961,0.006391871835506713,-0.0717889492616045,-0.056140029935521585,-0.0026742239773271947,-0.07162487635459373,,-0.0026742239773271947,-0.10117515594485083,-0.05135494339106028,0.002806278663769479,0.007875000000000024
2004-12-31,0.021590279025603537,0.036823544604801084,0.20519178036087427,,,,,0.07583469086919825,-0.014128169429682202,0.003047055397232379,-0.019191250363835732,-0.0317834850237817,-0.02612090306327819,-0.0709539689861386,-0.12918662517851015,,-0.0722201294903343,-0.15360083761629983,-0.0412322661835125,0.002782034329272154,0.008799999999999983
2005-01-31,0.042302806052394254,0.09877922071677347,0.11587988317465614,,,,,0.07022879629496281,-0.0001797408338337636,0.0032857878677334806,-0.005887443708839313,0.03166025520664317,0.02284719836201421,-0.014142801704037589,0.09000600114161753,,-0.013951268571618658,0.13455911673300447,0.024792592498346977,0.0028466715655732777,-0.02529166666666665
2005-02-28,0.08558576939534882,0.0646467151819421,0.1576925866652188,,,,,-0.03281017878517589,-0.0006111877131118604,0.015977486165878574,-0.009729463040114794,-0.034469672716725075,-0.026244688860992627,0.0092994499913166,0.03962980642254592,,0.013041666602680246,0.05102472348820264,-0.018906716331337114,0.0029435415760119543,-0.019316666666666666
2005-03-31,-0.043916897383133285,-0.04743857950976316,-0.13289048139149828,,,,,-0.023598946385883224,-0.005383524048121591,-0.013428372238003417,0.012705828869074898,0.009062745224177604,0.01536791225366918,-0.003375012297144986,0.057739976110707615,,-0.004954328839022248,0.08460896394630613,0.015420021560548225,0.0029112630070997625,0.009566666666666685
2005-04-30,-0.05506265563671062,-0.09960151681683382,-0.07279706357186899,,,,,-0.0196375006244488,-0.03836056434500168,-0.03585368382941867,-0.05574803240715509,0.0046596496609632165,-0.0025806126838302523,-0.0078702087181588,-0.08601310512241298,,-0.00559837561358556,-0.12047656062619616,-0.017712734464741198,0.0028870465787962374,0.00797499999999994
2005-05-31,0.06589395365828835,0.0818582581266889,0.3140497298952667,,,,,0.02619425918964513,0.04293356498525358,0.0016480991342295859,0.042423046268542874,0.02894965941281935,0.018049999970692676,-0.029247788119870166,0.02935035614313007,,-0.03305984746884694,0.05609758626254879,0.012769786638421321,0.0028789730064431307,0.017408333333333373
2005-06-30,0.040365191878470014,0.010224920090906586,0.06918241392991198,,,,,0.043543238102403015,0.028168745532491712,0.041322169878972304,-0.0004291946814434233,0.03152357489042723,0.031926836710528095,0.07073465468341844,0.10375390741976959,,0.0749482142612683,0.11609920448769873,0.029195604172012724,0.0028789730064431307,0.0016833333333333106
2005-07-31,0.10354533870135499,0.14372511627581308,0.40588264677748476,,,,,0.07913709482508002,0.02741515702662989,0.019207488596542532,0.027276663187617567,-0.0320876072404086,-0.03490162182408163,-0.024570373056147732,0.035364800546040076,,-0.024067768559779434,0.060835901591391295,-0.007740371903182108,0.0028789730064431307,-0.017783333333333325
2005-08-31,-0.023910023058786728,-0.037168123314976764,-0.10460292628657064,,-0.39736848811329406,,,-0.0120002473759111,0.006603486577803963,0.05510961306003748,-0.007858532217516312,0.03645663940239374,0.041847596327517556,0.029892617113221442,0.11718575333641044,,0.02534721574285248,0.15654512659079245,0.0189887838707552,0.002870898719076642,-0.005424999999999995
2005-09-30,0.12833967654909675,0.0808820577863032,0.07476684941480216,,0.044927957562686194,,,0.15654526911982547,0.000849130377808649,0.029562557846212423,0.009518929515466956,-0.024517012242855962,-0.008653026768863259,0.06837672207451151,-0.010169125155715743,,0.07344693764357046,-0.046004580641124115,-0.004292423989305849,0.003032248764614831,0.000733333333333302
2005-10-31,-0.05026474919205312,-0.059523815182829676,-0.17173963051745134,,-0.03874336668010481,,,-0.031505233891504614,-0.012299011572197593,-0.02058505925849141,-0.002796670467881124,-0.0009096594785958922,-0.0016462892332339552,0.005128124149973878,-0.060171329836084204,,0.0032145455085828,-0.08733670498379864,0.014779862916223463,0.003217449047942411,-0.006208333333333322
2005-11-30,0.12155805175416193,0.08499097783124254,0.14960647983987108,,0.05228768304109632,,,0.04578336898066149,0.01895571815112773,-0.0013860609952973668,0.03285310251968765,-0.017840527437785636,-0.02222169568721022,0.032852224873694436,-0.03326814371448136,,0.03796444630197349,-0.0637963965786763,-0.02086099064672997,0.0032415779026344627,-0.011533333333333305
2005-12-31,0.0643974730322672,0.09666689765089043,0.6519187566657483,,0.19380793916601902,,,0.08217923328783483,-0.02115836712144903,0.031544727776643855,-0.014642871349274333,-0.005886163765910002,-0.009144626452117444,0.030253648126307153,0.03865577868281278,,0.02533241237738748,0.04436579281370934,-0.016082894057384278,0.0033058903246372395,0.008733333333333343
2006-01-31,0.01608283021228954,0.12461994781483932,0.05382437145798025,,-0.08888875424103337,,,-0.09632000840944532,-0.028618190050404557,0.0033501470039887238,-0.04868120013825028,-0.058068345922939635,-0.05112064417862994,0.04276303357796474,0.052998747873895885,,0.047112522063520235,0.0555214160783426,-0.048011090638374165,0.0033942459274463044,0.0056666666666666254
2006-02-28,-0.0189238719136767,-0.07162158461560253,-0.10752666631905394,,-0.07317058953009625,,,-0.019161863795689293,0.010689997183480848,-0.002097932154259241,0.03619097604529409,0.0038955042010571095,0.0049362844817113505,-0.006229693015506799,-0.06734772673122792,,-0.01126102855655342,-0.0913848830918027,0.008634863896094913,0.003474495003497502,0.019650000000000015
2006-03-31,-0.007491672462734939,-0.08296979875158184,-0.12801212043814314,,-0.09894771846807282,,,0.0500609466074482,0.02859254936232869,0.05241946041217238,0.05664641869481657,-0.0018478335280164293,-0.009753882159320604,0.0485270461599181,0.04013256336061177,,0.04828820101665143,0.09790501572444166,0.015622441876569138,0.0034905363507502507,-0.002599999999999992
2006-04-30,0.04547624739817227,0.02222240708359191,0.1381692374385921,,0.028037547643136262,,,-0.031395443498248854,-0.031083878601974924,0.0026665324122028267,-0.022505181693800558,-0.049172205240995304,-0.04541576213045506,0.0719456673525567,0.023975624785303573,,0.07195187272302794,0.03222150695373194,-0.03953933523425546,0.003538643475265779,0.003016666666666658
2006-05-31,-0.07061579891986777,-0.03416145867071785,-0.022761736950536515,,-0.0579545175260715,,,-0.07803088691016957,-0.01465516688764057,-0.022881203542046813,-0.0014126358338454326,0.014862725365650142,0.018961148812983497,0.002523285478665871,0.011980911211347367,,0.0014506554052353682,0.007607379586527685,0.019854412491114193,0.0035626875279843873,0.017041666666666642
2006-06-30,-0.01586309675450623,-0.029710218113550124,-0.04503130395144295,,-0.013268862625701927,,,0.04427052041653523,0.001837961482833439,-0.0013794483035005634,-0.002051352892542102,0.001525852041550868,0.0035057984825277444,-0.04743955220191032,-0.00938229226846965,,-0.04586974273232669,0.03693601735442065,0.0031912167747911724,0.003650794881391306,0.0018333333333333665
2006-07-31,0.003311476913616911,0.008291938863623782,0.055284760114336695,,0.12713910823800245,,,-0.011221829476403933,0.010366866430936872,0.0140152704698695,-0.05125857855842919,0.02273357772374518,0.021059879935611203,0.03756778333073574,0.028126636820476003,,0.03980114959865144,0.011572960410283661,0.009908385238778017,0.003778799343900019,0.00887499999999999
2006-08-31,0.043567152007371074,0.06907886351145875,0.13405263777062926,,0.024945906283560415,,,0.11097103138745834,0.030718122591395947,0.03441253297981506,0.020092040020244673,0.02649403892893165,0.025478471266819014,-0.005189077994198987,-0.024840195661427922,,-0.004495906441503994,-0.04742420478108522,0.012738554083350007,0.0038187639418887365,0.015299999999999968
2006-09-30,0.015051650043684832,0.021538759315648193,0.017662953984324492,,0.12169296855999745,,,0.10669695110939759,0.012117969883631119,-0.01230579613049465,0.023134171096530043,-0.0025912338568285787,-0.013400461739681346,-0.0591084728628255,-0.055883764381484236,,-0.05747761441348764,-0.11758786285394718,-0.010666067134063595,0.003786793663815624,0.006616666666666704
2006-10-31,-0.003752140264830257,-0.07981950117832515,-0.08678237544700007,,0.07744434879542172,,,-0.056410582347201865,0.019145336582509387,0.025048530955690707,0.0158630466674341,-0.006673190055937583,-0.0127181995230633,0.0007994572131126976,-0.0020923640577775737,,-0.0029150601320626635,-0.07764024221790788,-0.008014962415382576,0.0037308187111868563,0.009075000000000003
2006-11-30,0.050834045794055954,0.04746299652158781,0.035087459849617586,,0.01131542799087537,,,-0.06304330698027483,0.013998859789753793,0.02478048382944298,0.018590771358279135,0.007267454910461435,0.004889448268223573,0.06272135275241131,0.05957843569602295,,0.06466826828713024,0.06871464387037496,-0.0018086514516144625,0.00375481218114615,-0.0020083333333333663
2006-12-31,0.002820998709244487,-0.03423199544005384,0.056185896809903824,,-0.01480678235018662,,,0.01229149420706177,0.010209006336079351,0.02875161489753464,0.0017913931701034613,-0.015837447082035827,-0.026087554138036984,-0.021388855873593293,-0.026247316981024338,,-0.021150047156260454,-0.035965313848882796,0.0008498059224186783,0.0038826709170549645,0.002091666666666679
2007-01-31,-0.050497683790516196,-0.05383363654580409,-0.14520558688923757,,-0.029412043126727738,,,-0.11279076788587994,0.02289983069200141,0.021781652126143358,0.028755719789852252,0.003709807721921088,0.010088942393013278,0.0335704666740837,-0.016445947797103178,,0.03439625469656593,-0.04029180904572893,0.01182871061038715,0.004010350772625237,-0.0003749999999999899
