,proposed,bm_global_60_40,bm_kr_60_40
2004,0.0209253248908452,-0.06662237128205528,0.13039314166829663
2005,0.18204247513967164,0.07703312278610275,0.2979236558847207
2006,0.03855227480955925,0.02580958190003413,0.06931620172354203
2007,0.13763761861048707,0.10893520467156814,0.2058951555454045
2008,-0.06739101583339968,0.07925661302984532,-0.21823193453098988
2009,0.1952141810585981,0.057580024431626464,0.1954508447320673
2010,0.1507680689992259,0.10996355105954847,0.1815916561833475
2011,0.04422113852662157,0.07688153530821817,-0.031792748534366644
2012,0.0345979036844426,0.008326317368033243,0.09892533066484499
2013,0.10310712139062206,0.14234701561020513,0.010426805943099415
2014,0.07202409356099548,0.11351233302433972,-0.007672008528584406
2015,0.027278623592989826,0.08132046905010992,0.01962445947886793
2016,0.119818746478348,0.08493767006286879,0.06818726478618986
2017,0.08904948112163935,0.024315062955095446,0.16038802641172922
2018,-0.05140781171262743,-0.002622115480034215,-0.08734613760824073
2019,0.20473456479144247,0.234386134388487,0.10067553594059331
2020,0.1425432222190004,0.10116139548408465,0.22822822237610363
2021,0.16543048334343258,0.21172796189188925,0.017751156312789007
2022,-0.10031653312554312,-0.1176196556083926,-0.16201858162182603
2023,0.20422916349996134,0.17126380007035857,0.1623304972188322
2024,0.1574866029642621,0.24214481955964806,-0.029531611954047854
2025,0.34937617532139553,0.17559359972500244,0.5128039789498833
2026,0.3022711729537144,0.05271495671009396,0.539233244014707
