,proposed,bm_global_60_40,bm_kr_60_40
2016,0.06745995812637906,0.032480470405223505,0.04605232319379793
2017,0.0890494811216398,0.024315062955095668,0.16038802641172833
2018,-0.05140781171262765,-0.002622115480034548,-0.08734613760824073
2019,0.20473456479144203,0.2343861343884872,0.10067553594059397
2020,0.1425432222190004,0.10116139548408509,0.22822822237610385
2021,0.16543048334343258,0.21172796189188903,0.017751156312788785
2022,-0.10031653312554356,-0.11761965560839216,-0.16201858162182647
2023,0.2042291634999609,0.1712638000703579,0.1623304972188322
2024,0.15748660296426253,0.24214481955964828,-0.029531611954048076
2025,0.34937617532139575,0.17559359972500244,0.5128039789498835
2026,0.3022711729537142,0.05271495671009396,0.5392332440147063
