Date,close
2000-01-31,-234651.171875
2000-02-29,-159100.65625
2000-03-31,-218652.25
2000-04-30,-156434.09375
2000-05-31,-156434.09375
2000-06-30,-195542.625
2000-07-31,-154656.453125
2000-08-31,-180432.5625
2000-09-30,-141768.453125
2000-10-31,-62129.2421875
2000-11-30,-60796.0
2000-12-31,-35775.421875
2001-01-31,-59371.98046875
2001-02-28,-38058.96484375
2001-03-31,-32020.26953125
2001-04-30,-34354.55859375
2001-05-31,-44046.9140625
2001-06-30,-28366.607421875
2001-07-31,-13954.94921875
2001-08-31,-8423.7158203125
2001-09-30,-9235.6396484375
2001-10-31,-11316.1982421875
2001-11-30,-21769.724609375
2001-12-31,-32192.580078125
2002-01-31,-33522.859375
2002-02-28,-21483.896484375
2002-03-31,-19155.919921875
2002-04-30,-12704.0966796875
2002-05-31,-9178.876953125
2002-06-30,-3458.706787109375
2002-07-31,-6784.3896484375
2002-08-31,-7116.9560546875
2002-09-30,-5653.6572265625
2002-10-31,-6318.79248046875
2002-11-30,-5786.68310546875
2002-12-31,3370.015869140625
2003-01-31,2828.40673828125
2003-02-28,2407.154541015625
2003-03-31,1624.8294677734375
2003-04-30,1851.2161865234375
2003-05-31,2186.498291015625
2003-06-30,3318.434326171875
2003-07-31,4235.44677734375
2003-08-31,4567.861328125
2003-09-30,3845.715576171875
2003-10-31,4315.68408203125
2003-11-30,3799.86474609375
2003-12-31,3705.857666015625
2004-01-31,5922.75830078125
2004-02-29,5935.99169921875
2004-03-31,8106.5703125
2004-04-30,7874.95263671875
2004-05-31,7444.80859375
2004-06-30,8371.2705078125
2004-07-31,5955.84619140625
2004-08-31,6915.39990234375
2004-09-30,6948.4853515625
2004-10-31,8404.361328125
2004-11-30,6849.22119140625
2004-12-31,8254.62890625
2005-01-31,9211.169921875
2005-02-28,10663.703125
2005-03-31,9246.6015625
2005-04-30,8573.4775390625
2005-05-31,11265.97265625
2005-06-30,12045.3798828125
2005-07-31,16934.392578125
2005-08-31,15163.0078125
2005-09-30,16296.693359375
2005-10-31,13497.9111328125
2005-11-30,15517.2841796875
2005-12-31,25633.287109375
2006-01-31,27012.986328125
2006-02-28,24108.357421875
2006-03-31,21022.203125
2006-04-30,23926.822265625
2006-05-31,23382.208984375
2006-06-30,22329.28125
2006-07-31,23563.75
2006-08-31,26722.52734375
2006-09-30,27194.521484375
2006-10-31,24834.513671875
2006-11-30,25705.90625
2006-12-31,27150.20703125
2007-01-31,23207.84765625
2007-02-28,23170.654296875
2007-03-31,24100.455078125
2007-04-30,23840.11328125
2007-05-31,21385.439453125
2007-06-30,24807.10546875
2007-07-31,27968.435546875
2007-08-31,25104.646484375
2007-09-30,23282.232421875
2007-10-31,18596.033203125
2007-11-30,19265.48828125
2007-12-31,19962.9296875
2008-01-31,20001.39453125
2008-02-29,18885.93359375
2008-03-31,21424.576171875
2008-04-30,20616.82421875
2008-05-31,23847.8203125
2008-06-30,19232.115234375
2008-07-31,16655.0078125
2008-08-31,14924.1201171875
2008-09-30,14885.6552734375
2008-10-31,8077.48779296875
2008-11-30,5761.9423828125
2008-12-31,5598.53466796875
2009-01-31,7470.28125
2009-02-28,7219.60302734375
2009-03-31,10319.685546875
2009-04-30,12032.671875
2009-05-31,10779.2685546875
2009-06-30,11405.9716796875
2009-07-31,14706.595703125
2009-08-31,18341.466796875
2009-09-30,16544.921875
2009-10-31,15082.6181640625
2009-11-30,15416.857421875
2009-12-31,19699.12109375
2010-01-31,19358.75390625
2010-02-28,17869.619140625
2010-03-31,22719.943359375
2010-04-30,24166.533203125
2010-05-31,21401.0
2010-06-30,21315.904296875
2010-07-31,19146.021484375
2010-08-31,17954.712890625
2010-09-30,18848.189453125
2010-10-31,19699.12109375
2010-11-30,19996.953125
2010-12-31,20681.482421875
2011-01-31,25550.244140625
2011-02-28,24429.998046875
2011-03-31,26972.099609375
2011-04-30,29126.419921875
2011-05-31,25938.0234375
2011-06-30,21586.294921875
2011-07-31,20896.916015625
2011-08-31,16459.009765625
2011-09-30,18397.89453125
2011-10-31,19690.494140625
2011-11-30,19776.6640625
2011-12-31,18914.9375
2012-01-31,23137.40625
2012-02-29,26024.197265625
2012-03-31,25205.556640625
2012-04-30,24171.482421875
2012-05-31,19905.919921875
2012-06-30,20552.220703125
2012-07-31,18699.501953125
2012-08-31,18268.638671875
2012-09-30,19604.31640625
2012-10-31,21413.94921875
2012-11-30,21026.171875
2012-12-31,22189.5078125
2013-01-31,21026.171875
2013-02-28,22835.798828125
2013-03-31,24774.69140625
2013-04-30,25765.67578125
2013-05-31,27747.65625
2013-06-30,26885.919921875
2013-07-31,23439.01171875
