Date,close
2000-01-31,3899.11962890625
2000-02-29,3577.68505859375
2000-03-31,4681.7353515625
2000-04-30,4192.60009765625
2000-05-31,4304.40234375
2000-06-30,5156.89599609375
2000-07-31,4122.724609375
2000-08-31,3822.25439453125
2000-09-30,2823.017822265625
2000-10-31,1991.485107421875
2000-11-30,2264.0048828125
2000-12-31,2208.101318359375
2001-01-31,3074.572998046875
2001-02-28,2613.38720703125
2001-03-31,2906.86962890625
2001-04-30,3200.351806640625
2001-05-31,2962.77099609375
2001-06-30,2683.263916015625
2001-07-31,2648.325927734375
2001-08-31,2655.31298828125
2001-09-30,1963.534423828125
2001-10-31,2424.719970703125
2001-11-30,3046.623046875
2001-12-31,3899.11962890625
2002-01-31,4234.525390625
2002-02-28,4793.54052734375
2002-03-31,5142.92236328125
2002-04-30,5338.578125
2002-05-31,4779.56396484375
2002-06-30,4597.88427734375
2002-07-31,4646.79736328125
2002-08-31,4625.83447265625
2002-09-30,4171.6357421875
2002-10-31,4821.490234375
2002-11-30,5408.455078125
2002-12-31,4388.25537109375
2003-01-31,4073.80908203125
2003-02-28,3906.1064453125
2003-03-31,3968.99462890625
2003-04-30,4262.4775390625
2003-05-31,4528.009765625
2003-06-30,4961.24267578125
2003-07-31,5813.7392578125
2003-08-31,6079.2705078125
2003-09-30,5478.3291015625
2003-10-31,6568.408203125
2003-11-30,6498.52880859375
2003-12-31,6302.87646484375
2004-01-31,7323.07666015625
2004-02-29,7616.55615234375
2004-03-31,7993.89208984375
2004-04-30,7784.2578125
2004-05-31,7071.517578125
2004-06-30,6666.23291015625
2004-07-31,5827.71240234375
2004-08-31,6302.87646484375
2004-09-30,6400.70361328125
2004-10-31,6142.15869140625
2004-11-30,6072.2822265625
2004-12-31,6295.88671875
2005-01-31,6917.79150390625
2005-02-28,7365.00048828125
2005-03-31,7015.61767578125
2005-04-30,6316.85205078125
2005-05-31,6833.939453125
2005-06-30,6903.814453125
2005-07-31,7896.06640625
2005-08-31,7602.5849609375
2005-09-30,8217.4970703125
2005-10-31,7728.35888671875
2005-11-30,8385.2001953125
2005-12-31,9195.7685546875
2006-01-31,10341.74609375
2006-02-28,9601.0498046875
2006-03-31,8804.4619140625
2006-04-30,9000.1142578125
2006-05-31,8692.65625
2006-06-30,8434.3955078125
2006-07-31,8504.3359375
2006-08-31,9091.8017578125
2006-09-30,9287.62890625
2006-10-31,8546.2939453125
2006-11-30,8951.9306640625
2006-12-31,8645.4853515625
2007-01-31,8180.0751953125
2007-02-28,8039.03125
2007-03-31,7940.30712890625
2007-04-30,8095.4482421875
2007-05-31,7545.4072265625
2007-06-30,7989.49267578125
2007-07-31,8667.0498046875
2007-08-31,8342.3896484375
2007-09-30,8116.53271484375
2007-10-31,7763.6455078125
2007-11-30,7975.37890625
2007-12-31,7951.87841796875
2008-01-31,8509.654296875
2008-02-29,8009.08349609375
2008-03-31,8910.107421875
2008-04-30,10168.677734375
2008-05-31,10597.7333984375
2008-06-30,8945.43359375
2008-07-31,8072.359375
2008-08-31,7385.3515625
2008-09-30,7714.54345703125
2008-10-31,7542.7919921875
2008-11-30,6955.97021484375
2008-12-31,6526.59033203125
2009-01-31,7076.50341796875
2009-02-28,6902.84521484375
2009-03-31,8219.7421875
2009-04-30,8567.0546875
2009-05-31,8075.029296875
2009-06-30,8574.248046875
2009-07-31,10486.07421875
2009-08-31,11166.80078125
2009-09-30,11804.0732421875
2009-10-31,10471.591796875
2009-11-30,10428.140625
2009-12-31,11683.6826171875
2010-01-31,11464.3349609375
2010-02-28,10879.423828125
2010-03-31,11961.517578125
2010-04-30,12414.822265625
2010-05-31,11347.3564453125
2010-06-30,11389.65234375
2010-07-31,11919.404296875
2010-08-31,11124.77734375
2010-09-30,11433.7998046875
2010-10-31,10962.908203125
2010-11-30,12154.849609375
2010-12-31,14039.669921875
2011-01-31,14513.083984375
2011-02-28,13655.0234375
2011-03-31,13788.171875
2011-04-30,13211.201171875
2011-05-31,13344.349609375
2011-06-30,12227.3359375
2011-07-31,12493.791015625
2011-08-31,11013.484375
2011-09-30,12434.5771484375
2011-10-31,14329.3720703125
2011-11-30,14862.283203125
2011-12-31,15734.96484375
2012-01-31,16463.708984375
2012-02-29,17936.080078125
2012-03-31,18962.279296875
2012-04-30,20672.595703125
2012-05-31,18010.44140625
2012-06-30,17869.37890625
2012-07-31,19476.287109375
2012-08-31,18345.498046875
2012-09-30,20026.794921875
2012-10-31,19491.15625
2012-11-30,20919.52734375
2012-12-31,22761.578125
2013-01-31,21654.9140625
2013-02-28,23090.591796875
2013-03-31,22836.357421875
2013-04-30,22731.671875
2013-05-31,23000.8671875
2013-06-30,20077.62890625
2013-07-31,19150.0546875
2013-08-31,20466.625
2013-09-30,20451.666015625
2013-10-31,21917.8359375
2013-11-30,22351.70703125
2013-12-31,20729.642578125
2014-01-31,19339.60546875
2014-02-28,20382.134765625
2014-03-31,20291.482421875
2014-04-30,20291.482421875
2014-05-31,21802.37890625
2014-06-30,19981.7265625
2014-07-31,20299.140625
2014-08-31,18651.62890625
2014-09-30,17895.890625
2014-10-31,18802.771484375
2014-11-30,19452.712890625
2014-12-31,20350.8203125
2015-01-31,20933.591796875
2015-02-28,20810.912109375
2015-03-31,22099.119140625
2015-04-30,21623.705078125
2015-05-31,20044.099609375
2015-06-30,19461.23046875
2015-07-31,18187.345703125
2015-08-31,16713.943359375
2015-09-30,17404.6015625
2015-10-31,21057.421875
2015-11-30,19706.794921875
2015-12-31,19648.849609375
2016-01-31,17933.482421875
2016-02-29,18370.1171875
2016-03-31,20459.7578125
2016-04-30,19414.939453125
2016-05-31,20147.873046875
2016-06-30,22237.810546875
2016-07-31,24016.841796875
2016-08-31,25280.87890625
2016-09-30,24937.564453125
2016-10-31,25577.390625
2016-11-30,27247.171875
2016-12-31,28557.619140625
2017-01-31,31267.587890625
2017-02-28,30459.33984375
2017-03-31,32756.109375
2017-04-30,35475.171875
2017-05-31,35538.78125
2017-06-30,37907.98046875
2017-07-31,38434.26953125
2017-08-31,36935.171875
2017-09-30,41001.30078125
2017-10-31,44039.60546875
2017-11-30,40617.51171875
2017-12-31,41112.19921875
2018-01-31,40257.046875
2018-02-28,37965.85546875
2018-03-31,39999.203125
2018-04-30,43071.06640625
2018-05-31,41201.94140625
2018-06-30,38192.62890625
2018-07-31,37865.15234375
2018-08-31,39666.30078125
2018-09-30,38315.03125
2018-10-31,34974.328125
2018-11-30,34520.65625
2018-12-31,32219.72265625
2019-01-31,38422.24609375
2019-02-28,37548.06640625
2019-03-31,37465.87890625
2019-04-30,38472.796875
2019-05-31,35661.80078125
2019-06-30,39745.640625
2019-07-31,38350.31640625
2019-08-31,37208.69140625
2019-09-30,41779.83203125
2019-10-31,42929.7421875
